datum	tmin	tmax	rhmin	rhmax	solar	wind
2013-12-08	-3.5	5.3	62	95	2.452	0.270109951
2013-12-09	-3.4	4.7	64	97	0.977	0.438368063
2013-12-10	2.2	12.3	58	84	3.981	0.352285889
2013-12-11	0.9	3.5	71	79	1.039	0.36053241
2013-12-12	-2.6	5.7	71	96	1.994	0.093026604
2013-12-13	-3.1	1.1	96	100	0.963	0.289351868
2013-12-14	-1.2	0.2	99	100	0.727	0.207465271
2013-12-15	-1.7	0.2	97	100	1.253	0.403211778
2013-12-16	-3.3	1.3	95	100	3.058	0.373842604
2013-12-17	-3.7	-2.3	99	100	0.906	0.304108757
2013-12-18	-4.1	-2.5	99	100	0.455	0.226273153
2013-12-19	-4.4	1	88	99	2.977	0.315682833
2013-12-20	-1.6	3.4	95	100	2.117	0.288049771
2013-12-21	-0.3	4.3	96	100	1.699	0.225839076
2013-12-22	-0.3	3.5	98	100	1.506	0.051504618
2013-12-23	-0.8	2.1	100	100	2.336	0.004918972
2013-12-24	-1.5	12.7	52	100	4.095	1.151909694
2013-12-25	8.1	13.1	50	72	2.083	2.075810194
2013-12-26	7	11.8	57	96	1.322	0.348234944
2013-12-27	4.1	8.2	81	97	1.698	0.071035861
2013-12-28	-0.7	11.9	63	100	2.331	0.103153917
2013-12-29	4.1	11.5	57	94	1.207	0.225694451
2013-12-30	3.2	7.4	70	96	2.554	0.073350681
2013-12-31	3.8	4.9	82	96	0.784	0.014467604
2014-01-01	3.8	6.5	77	96	1.989	0.152633104
2014-01-02	-0.4	9.5	58	98	3.191	0.533420146
2014-01-03	0.1	12.7	61	96	4.009	0.221354167
2014-01-04	-0.7	11.3	71	98	2.661	0.334056694
2014-01-05	6.4	12.2	74	98	1.474	0.294126153
2014-01-06	1.1	12.3	62	98	4.663	0.094762736
2014-01-07	-0.7	6.3	96	100	2.281	0.076678222
2014-01-08	1.4	3.1	99	100	1.639	0.00795716
2014-01-09	-0.8	4.6	100	100	1.798	0.012876132
2014-01-10	1.4	7.4	98	100	2.926	0.135995333
2014-01-11	2.8	7.1	90	100	2.460	0.080729139
2014-01-12	0.2	9.9	61	100	4.419	0.105468743
2014-01-13	-2.7	5.5	94	100	4.050	0.084056722
2014-01-14	-0.7	10.4	71	100	2.567	0.150173604
2014-01-15	2.7	6.6	84	98	1.760	0.143084486
2014-01-16	-0.9	9.1	61	100	3.485	0.20732059
2014-01-17	8	11.4	62	83	3.148	1.068576375
